MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,9172.97,24 Hr Active Import Register (kWh),21/08/2025 00:00
100109xxxxx,223xxxxx,9162.362,24 Hr Active Import Register (kWh),20/08/2025 00:00
100109xxxxx,223xxxxx,9154.092,24 Hr Active Import Register (kWh),19/08/2025 00:00
100109xxxxx,223xxxxx,9146.091,24 Hr Active Import Register (kWh),18/08/2025 00:00
100109xxxxx,223xxxxx,9137.965,24 Hr Active Import Register (kWh),17/08/2025 00:00
100109xxxxx,223xxxxx,9128.234,24 Hr Active Import Register (kWh),16/08/2025 00:00
100109xxxxx,223xxxxx,9113.964,24 Hr Active Import Register (kWh),15/08/2025 00:00
100109xxxxx,223xxxxx,9105.319,24 Hr Active Import Register (kWh),14/08/2025 00:00
100109xxxxx,223xxxxx,9094.414,24 Hr Active Import Register (kWh),13/08/2025 00:00
100109xxxxx,223xxxxx,9081.166,24 Hr Active Import Register (kWh),12/08/2025 00:00
100109xxxxx,223xxxxx,9068.597,24 Hr Active Import Register (kWh),11/08/2025 00:00
100109xxxxx,223xxxxx,9052.232,24 Hr Active Import Register (kWh),10/08/2025 00:00
100109xxxxx,223xxxxx,9036.202,24 Hr Active Import Register (kWh),09/08/2025 00:00
100109xxxxx,223xxxxx,9026.888,24 Hr Active Import Register (kWh),08/08/2025 00:00
100109xxxxx,223xxxxx,9015.669,24 Hr Active Import Register (kWh),07/08/2025 00:00
100109xxxxx,223xxxxx,9004.152,24 Hr Active Import Register (kWh),06/08/2025 00:00
100109xxxxx,223xxxxx,8989.332,24 Hr Active Import Register (kWh),05/08/2025 00:00
100109xxxxx,223xxxxx,8977.787,24 Hr Active Import Register (kWh),04/08/2025 00:00
100109xxxxx,223xxxxx,8968.203,24 Hr Active Import Register (kWh),03/08/2025 00:00
100109xxxxx,223xxxxx,8952.107,24 Hr Active Import Register (kWh),02/08/2025 00:00
100109xxxxx,223xxxxx,8940.105,24 Hr Active Import Register (kWh),01/08/2025 00:00
100109xxxxx,223xxxxx,8929.57,24 Hr Active Import Register (kWh),31/07/2025 00:00
100109xxxxx,223xxxxx,8916.574,24 Hr Active Import Register (kWh),30/07/2025 00:00
100109xxxxx,223xxxxx,8902.707,24 Hr Active Import Register (kWh),29/07/2025 00:00
100109xxxxx,223xxxxx,8890.328,24 Hr Active Import Register (kWh),28/07/2025 00:00
100109xxxxx,223xxxxx,8880.534,24 Hr Active Import Register (kWh),27/07/2025 00:00
100109xxxxx,223xxxxx,8868.406,24 Hr Active Import Register (kWh),26/07/2025 00:00
100109xxxxx,223xxxxx,8860.085,24 Hr Active Import Register (kWh),25/07/2025 00:00
100109xxxxx,223xxxxx,8850.693,24 Hr Active Import Register (kWh),24/07/2025 00:00
100109xxxxx,223xxxxx,8837.869,24 Hr Active Import Register (kWh),23/07/2025 00:00
100109xxxxx,223xxxxx,8828.583,24 Hr Active Import Register (kWh),22/07/2025 00:00
100109xxxxx,223xxxxx,8817.971,24 Hr Active Import Register (kWh),21/07/2025 00:00
100109xxxxx,223xxxxx,8804.559,24 Hr Active Import Register (kWh),20/07/2025 00:00
